sample_id,post_id,hashtag,hashtag_en,label
1,ai_0001.png,#아이웨이웨이,Ai Weiwei,5
2,ai_0001.png,#AI,AI,4
3,ai_0001.png,#인공지능,Artificial intelligence,4
4,ai_0001.png,#현대미술,Contemporary Art,5
5,ai_0001.png,#프로젝트,project,4
6,ai_0003.png,#갤럭시링,Galaxy Ring,5
7,ai_0003.png,#삼성전자,Samsung Electronics,4
8,ai_0004.png,#문장수집,Sentence Collection,4
9,ai_0004.png,#책추천,book recommendation,4
10,ai_0004.png,#독서,reading,4
11,ai_0004.png,#글귀,Quote,4
12,ai_0004.png,#소설,Novel,3
13,ai_0004.png,#인공지능,Artificial intelligence,5
14,ai_0004.png,#ai,AI,5
15,ai_0005.png,#웃짤,funny meme,5
16,ai_0005.png,#취업,employment,2
17,ai_0005.png,#불꽃놀이,Fireworks,1
18,ai_0005.png,#도쿄대학교,University of Tokyo,1
19,ai_0005.png,#인공지능,Artificial intelligence,1
20,ai_0006.png,#플리크아이,Flick Eye,4
21,ai_0008.png,#사랑,love,5
22,ai_0008.png,#이별,Separation,2
23,ai_0008.png,#썸,something,2
24,ai_0008.png,#설렘,excitement,2
25,ai_0008.png,#달달,Sweet,2
26,ai_0008.png,#설레는,exciting,2
27,ai_0008.png,#커플,couple,2
28,ai_0008.png,#연애,dating,4
29,ai_0008.png,#로봇,robot,4
30,ai_0008.png,#인공지능,Artificial intelligence,4
31,ai_0008.png,#공감글,EmpathyPost,3
32,ai_0008.png,#공감,Empathy,3
33,ai_0008.png,#소통,Communication,2
34,ai_0009.png,#행동,Action,3
35,ai_0009.png,#KOICA,KOICA,4
36,ai_0009.png,#코이카,KOICA,4
37,ai_0009.png,#WeKO,WeKO,3
38,ai_0009.png,#브랜드광고,Brand Advertisement,3
39,ai_0009.png,#브랜드광고영상,brand advertisement video,3
40,ai_0009.png,#광고영상,advertisement video,3
41,ai_0009.png,#Al,AI,5
42,ai_0009.png,#인공지능,Artificial intelligence,5
43,ai_0009.png,#국제개발협력,International Development Cooperation,4
44,ai_0009.png,#ODA,ODA,4
45,ai_0010.png,#라이프체인저스,Life Changers,3
46,ai_0010.png,#제이슨,Jason,4
47,ai_0010.png,#채찍피티,whip PT,5
48,ai_0010.png,#챗GPT,Chat GPT,5
49,ai_0010.png,#CHATGPT,CHATGPT,5
50,ai_0010.png,#인공지능,Artificial intelligence,4
51,ai_0010.png,#글쓰기,Writing,4
52,ai_0010.png,#글쓰기고수되는법,How to Become a Writing Expert,3
53,ai_0010.png,#쌉가능,super possible,2
54,ai_0010.png,#AI,AI,4
55,ai_0012.png,#챗GPT,Chat GPT,4
56,ai_0012.png,#바드,Bard,4
57,ai_0012.png,#인공지능,Artificial intelligence,5
58,ai_0012.png,#개발자,developer,2
59,ai_0012.png,#테스트,Test,2
60,ai_0012.png,#회사원,Office Worker,1
61,ai_0012.png,#직장인,Employee,1
62,ai_0012.png,#데이터,data,2
63,ai_0012.png,#해킹,Hacking,2
64,ai_0012.png,#보이스피싱,Voice Phishing,1
65,ai_0012.png,#사기,fraud,1
66,ai_0012.png,#프로그래머,programmer,2
67,ai_0012.png,#코딩,coding,2
68,ai_0012.png,#코더,coder,2
69,ai_0012.png,#웹툰,webtoon,5
70,ai_0012.png,#인스타툰,Insta toon,5
71,ai_0012.png,#그림일기,Picture Diary,3
72,ai_0012.png,#그림러,Picture Lover,3
73,ai_0012.png,#스케치,sketch,3
74,ai_0012.png,#만화,Comics,5
75,ai_0012.png,#할머니,Grandmother,4
76,ai_0012.png,#동화,fairy tale,3
77,ai_0012.png,#이야기,Story,4
