sample_id,post_id,true_label,pred_label,fold,model
78,ai_0013.png,4,4,0,clip_frozen
79,ai_0013.png,4,4,0,clip_frozen
80,ai_0013.png,4,2,0,clip_frozen
81,ai_0013.png,4,4,0,clip_frozen
82,ai_0013.png,1,4,0,clip_frozen
83,ai_0013.png,1,4,0,clip_frozen
84,ai_0013.png,1,2,0,clip_frozen
85,ai_0013.png,2,4,0,clip_frozen
86,ai_0013.png,2,4,0,clip_frozen
87,ai_0013.png,1,4,0,clip_frozen
88,ai_0013.png,1,4,0,clip_frozen
112,ai_0015.png,3,4,0,clip_frozen
113,ai_0015.png,2,4,0,clip_frozen
114,ai_0015.png,2,4,0,clip_frozen
115,ai_0015.png,2,4,0,clip_frozen
116,ai_0015.png,3,4,0,clip_frozen
117,ai_0015.png,4,4,0,clip_frozen
118,ai_0015.png,4,4,0,clip_frozen
119,ai_0015.png,3,4,0,clip_frozen
120,ai_0015.png,0,4,0,clip_frozen
264,domesticTravel_0008.png,4,1,0,clip_frozen
265,domesticTravel_0008.png,4,1,0,clip_frozen
325,domesticTravel_0021.png,1,1,0,clip_frozen
326,domesticTravel_0021.png,1,1,0,clip_frozen
327,domesticTravel_0021.png,0,1,0,clip_frozen
328,domesticTravel_0021.png,4,2,0,clip_frozen
329,domesticTravel_0021.png,1,1,0,clip_frozen
330,domesticTravel_0021.png,3,1,0,clip_frozen
331,domesticTravel_0021.png,4,1,0,clip_frozen
332,domesticTravel_0021.png,4,1,0,clip_frozen
333,domesticTravel_0021.png,4,1,0,clip_frozen
334,domesticTravel_0021.png,4,1,0,clip_frozen
335,domesticTravel_0021.png,4,1,0,clip_frozen
336,domesticTravel_0021.png,1,1,0,clip_frozen
337,domesticTravel_0021.png,1,1,0,clip_frozen
338,domesticTravel_0021.png,0,1,0,clip_frozen
339,domesticTravel_0021.png,1,1,0,clip_frozen
340,domesticTravel_0021.png,3,1,0,clip_frozen
341,domesticTravel_0021.png,4,1,0,clip_frozen
342,domesticTravel_0021.png,1,1,0,clip_frozen
343,domesticTravel_0021.png,2,1,0,clip_frozen
344,domesticTravel_0021.png,3,3,0,clip_frozen
345,domesticTravel_0021.png,2,3,0,clip_frozen
346,fall_0001.png,4,1,0,clip_frozen
347,fall_0001.png,3,1,0,clip_frozen
348,fall_0001.png,3,1,0,clip_frozen
349,fall_0001.png,2,1,0,clip_frozen
350,fall_0001.png,0,1,0,clip_frozen
351,fall_0001.png,1,1,0,clip_frozen
352,fall_0001.png,4,1,0,clip_frozen
373,fall_0005.png,2,1,0,clip_frozen
374,fall_0005.png,2,1,0,clip_frozen
375,fall_0005.png,4,1,0,clip_frozen
376,fall_0005.png,1,1,0,clip_frozen
412,fall_0009.png,4,1,0,clip_frozen
413,fall_0009.png,4,1,0,clip_frozen
