sample_id,post_id,true_label,pred_label,fold,model
78,ai_0013.png,4,4,0,clip_sim
79,ai_0013.png,4,4,0,clip_sim
80,ai_0013.png,4,3,0,clip_sim
81,ai_0013.png,4,4,0,clip_sim
82,ai_0013.png,1,4,0,clip_sim
83,ai_0013.png,1,4,0,clip_sim
84,ai_0013.png,1,2,0,clip_sim
85,ai_0013.png,2,4,0,clip_sim
86,ai_0013.png,2,4,0,clip_sim
87,ai_0013.png,1,4,0,clip_sim
88,ai_0013.png,1,4,0,clip_sim
112,ai_0015.png,3,4,0,clip_sim
113,ai_0015.png,2,4,0,clip_sim
114,ai_0015.png,2,4,0,clip_sim
115,ai_0015.png,2,4,0,clip_sim
116,ai_0015.png,3,4,0,clip_sim
117,ai_0015.png,4,3,0,clip_sim
118,ai_0015.png,4,4,0,clip_sim
119,ai_0015.png,3,4,0,clip_sim
120,ai_0015.png,0,4,0,clip_sim
264,domesticTravel_0008.png,4,2,0,clip_sim
265,domesticTravel_0008.png,4,2,0,clip_sim
325,domesticTravel_0021.png,1,4,0,clip_sim
326,domesticTravel_0021.png,1,4,0,clip_sim
327,domesticTravel_0021.png,0,4,0,clip_sim
328,domesticTravel_0021.png,4,2,0,clip_sim
329,domesticTravel_0021.png,1,4,0,clip_sim
330,domesticTravel_0021.png,3,4,0,clip_sim
331,domesticTravel_0021.png,4,4,0,clip_sim
332,domesticTravel_0021.png,4,4,0,clip_sim
333,domesticTravel_0021.png,4,4,0,clip_sim
334,domesticTravel_0021.png,4,4,0,clip_sim
335,domesticTravel_0021.png,4,4,0,clip_sim
336,domesticTravel_0021.png,1,4,0,clip_sim
337,domesticTravel_0021.png,1,4,0,clip_sim
338,domesticTravel_0021.png,0,4,0,clip_sim
339,domesticTravel_0021.png,1,3,0,clip_sim
340,domesticTravel_0021.png,3,4,0,clip_sim
341,domesticTravel_0021.png,4,3,0,clip_sim
342,domesticTravel_0021.png,1,4,0,clip_sim
343,domesticTravel_0021.png,2,3,0,clip_sim
344,domesticTravel_0021.png,3,4,0,clip_sim
345,domesticTravel_0021.png,2,4,0,clip_sim
346,fall_0001.png,4,4,0,clip_sim
347,fall_0001.png,3,4,0,clip_sim
348,fall_0001.png,3,4,0,clip_sim
349,fall_0001.png,2,4,0,clip_sim
350,fall_0001.png,0,4,0,clip_sim
351,fall_0001.png,1,4,0,clip_sim
352,fall_0001.png,4,4,0,clip_sim
373,fall_0005.png,2,2,0,clip_sim
374,fall_0005.png,2,2,0,clip_sim
375,fall_0005.png,4,2,0,clip_sim
376,fall_0005.png,1,2,0,clip_sim
412,fall_0009.png,4,3,0,clip_sim
413,fall_0009.png,4,3,0,clip_sim
414,fall_0009.png,3,3,0,clip_sim
415,fall_0009.png,3,3,0,clip_sim
416,fall_0009.png,4,3,0,clip_sim
469,fall_0014.png,4,4,0,clip_sim
470,fall_0014.png,4,4,0,clip_sim
471,fall_0014.png,4,4,0,clip_sim
472,fall_0014.png,4,2,0,clip_sim
473,fall_0014.png,4,2,0,clip_sim
474,fall_0014.png,4,2,0,clip_sim
475,fall_0014.png,3,2,0,clip_sim
476,fall_0014.png,3,3,0,clip_sim
477,fall_0014.png,2,4,0,clip_sim
478,fall_0014.png,1,4,0,clip_sim
479,fall_0014.png,2,4,0,clip_sim
480,fall_0014.png,2,4,0,clip_sim
481,fall_0014.png,2,4,0,clip_sim
482,fall_0014.png,1,2,0,clip_sim
483,fall_0014.png,2,3,0,clip_sim
484,fall_0014.png,2,3,0,clip_sim
485,fall_0014.png,1,2,0,clip_sim
486,fall_0014.png,1,4,0,clip_sim
487,fall_0014.png,1,2,0,clip_sim
511,fall_0017.png,4,4,0,clip_sim
512,fall_0017.png,4,3,0,clip_sim
513,fall_0017.png,4,4,0,clip_sim
514,fall_0017.png,4,4,0,clip_sim
515,fall_0017.png,4,2,0,clip_sim
516,fall_0017.png,4,4,0,clip_sim
517,fall_0017.png,4,4,0,clip_sim
518,fall_0017.png,2,4,0,clip_sim
519,fall_0017.png,4,4,0,clip_sim
520,fall_0017.png,4,4,0,clip_sim
567,fashion_0002.png,4,4,0,clip_sim
568,fashion_0002.png,4,4,0,clip_sim
569,fashion_0002.png,4,4,0,clip_sim
570,fashion_0002.png,4,4,0,clip_sim
571,fashion_0002.png,3,4,0,clip_sim
572,fashion_0002.png,1,4,0,clip_sim
573,fashion_0002.png,4,2,0,clip_sim
574,fashion_0002.png,4,2,0,clip_sim
575,fashion_0002.png,4,2,0,clip_sim
576,fashion_0002.png,4,3,0,clip_sim
577,fashion_0002.png,4,2,0,clip_sim
578,fashion_0002.png,3,3,0,clip_sim
579,fashion_0002.png,4,3,0,clip_sim
580,fashion_0002.png,4,3,0,clip_sim
581,fashion_0002.png,4,2,0,clip_sim
582,fashion_0002.png,3,3,0,clip_sim
583,fashion_0002.png,3,4,0,clip_sim
584,fashion_0002.png,3,3,0,clip_sim
585,fashion_0002.png,4,4,0,clip_sim
586,fashion_0002.png,4,2,0,clip_sim
587,fashion_0002.png,4,2,0,clip_sim
588,fashion_0002.png,4,2,0,clip_sim
589,fashion_0003.png,4,2,0,clip_sim
590,fashion_0003.png,4,2,0,clip_sim
591,fashion_0003.png,1,3,0,clip_sim
592,fashion_0003.png,3,2,0,clip_sim
593,fashion_0003.png,3,2,0,clip_sim
594,fashion_0003.png,4,2,0,clip_sim
595,fashion_0003.png,1,2,0,clip_sim
596,fashion_0003.png,1,2,0,clip_sim
597,fashion_0003.png,4,2,0,clip_sim
598,fashion_0003.png,4,2,0,clip_sim
599,fashion_0003.png,2,2,0,clip_sim
600,fashion_0003.png,3,2,0,clip_sim
601,fashion_0003.png,3,3,0,clip_sim
602,fashion_0003.png,3,2,0,clip_sim
603,fashion_0003.png,2,2,0,clip_sim
604,fashion_0005.png,3,4,0,clip_sim
605,fashion_0005.png,4,4,0,clip_sim
606,fashion_0005.png,3,3,0,clip_sim
607,fashion_0005.png,2,4,0,clip_sim
608,fashion_0005.png,3,2,0,clip_sim
918,movie_0022.png,4,3,0,clip_sim
919,movie_0022.png,0,2,0,clip_sim
920,movie_0022.png,1,2,0,clip_sim
921,movie_0022.png,0,2,0,clip_sim
922,movie_0022.png,0,2,0,clip_sim
923,movie_0022.png,0,2,0,clip_sim
924,movie_0022.png,0,2,0,clip_sim
925,movie_0022.png,0,2,0,clip_sim
926,movie_0022.png,0,3,0,clip_sim
927,movie_0022.png,0,2,0,clip_sim
928,movie_0022.png,2,2,0,clip_sim
929,movie_0022.png,0,2,0,clip_sim
930,movie_0022.png,1,3,0,clip_sim
931,movie_0022.png,4,4,0,clip_sim
932,movie_0022.png,3,3,0,clip_sim
933,movie_0022.png,4,2,0,clip_sim
934,movie_0022.png,3,2,0,clip_sim
997,olive_0011.png,2,3,0,clip_sim
998,olive_0011.png,4,3,0,clip_sim
999,olive_0011.png,2,3,0,clip_sim
1000,olive_0011.png,3,3,0,clip_sim
1001,olive_0011.png,2,3,0,clip_sim
1002,olive_0011.png,4,3,0,clip_sim
1003,olive_0011.png,1,3,0,clip_sim
1004,olive_0011.png,1,3,0,clip_sim
1005,olive_0011.png,4,3,0,clip_sim
1006,olive_0011.png,3,3,0,clip_sim
1007,olive_0011.png,2,3,0,clip_sim
1008,olive_0011.png,1,4,0,clip_sim
1009,olive_0011.png,1,4,0,clip_sim
1010,olive_0011.png,1,4,0,clip_sim
1011,olive_0011.png,1,4,0,clip_sim
1012,olive_0011.png,2,4,0,clip_sim
1013,olive_0011.png,0,3,0,clip_sim
1014,olive_0011.png,2,4,0,clip_sim
1015,olive_0011.png,1,3,0,clip_sim
1016,olive_0011.png,1,3,0,clip_sim
1017,olive_0011.png,3,3,0,clip_sim
1018,olive_0012.png,4,2,0,clip_sim
1038,olive_0015.png,4,4,0,clip_sim
1039,olive_0015.png,4,4,0,clip_sim
1040,olive_0015.png,2,4,0,clip_sim
1041,olive_0015.png,3,4,0,clip_sim
1042,olive_0015.png,3,4,0,clip_sim
1043,olive_0015.png,3,4,0,clip_sim
1044,olive_0015.png,1,4,0,clip_sim
1045,olive_0015.png,1,4,0,clip_sim
1046,olive_0015.png,2,4,0,clip_sim
1047,olive_0015.png,1,4,0,clip_sim
1048,olive_0015.png,2,4,0,clip_sim
1049,olive_0015.png,2,4,0,clip_sim
1050,olive_0015.png,1,3,0,clip_sim
1051,olive_0015.png,1,4,0,clip_sim
1052,olive_0015.png,3,4,0,clip_sim
1053,olive_0015.png,1,4,0,clip_sim
1054,olive_0015.png,3,3,0,clip_sim
1055,olive_0015.png,3,4,0,clip_sim
1056,olive_0015.png,3,4,0,clip_sim
1057,olive_0015.png,2,4,0,clip_sim
1058,olive_0015.png,2,4,0,clip_sim
1059,olive_0015.png,2,4,0,clip_sim
1060,olive_0015.png,2,4,0,clip_sim
1061,olive_0015.png,2,4,0,clip_sim
1161,restaurant_0009.png,4,4,0,clip_sim
1162,restaurant_0009.png,1,4,0,clip_sim
1163,restaurant_0009.png,3,4,0,clip_sim
1164,restaurant_0009.png,2,4,0,clip_sim
1165,restaurant_0009.png,0,3,0,clip_sim
1166,restaurant_0009.png,1,3,0,clip_sim
1167,restaurant_0010.png,4,3,0,clip_sim
1168,restaurant_0010.png,4,3,0,clip_sim
1169,restaurant_0010.png,3,2,0,clip_sim
1177,restaurant_0013.png,1,4,0,clip_sim
1178,restaurant_0013.png,1,4,0,clip_sim
1179,restaurant_0013.png,4,4,0,clip_sim
1180,restaurant_0013.png,4,4,0,clip_sim
1181,restaurant_0013.png,3,4,0,clip_sim
1182,restaurant_0013.png,3,4,0,clip_sim
1183,restaurant_0013.png,3,4,0,clip_sim
1184,restaurant_0013.png,3,4,0,clip_sim
1185,restaurant_0013.png,4,4,0,clip_sim
1186,restaurant_0013.png,4,4,0,clip_sim
1187,restaurant_0013.png,4,4,0,clip_sim
1188,restaurant_0013.png,4,4,0,clip_sim
1189,restaurant_0013.png,4,4,0,clip_sim
1190,restaurant_0013.png,4,4,0,clip_sim
1191,restaurant_0013.png,4,4,0,clip_sim
1192,restaurant_0013.png,4,4,0,clip_sim
1193,restaurant_0013.png,4,4,0,clip_sim
1194,restaurant_0013.png,4,4,0,clip_sim
1195,restaurant_0013.png,4,4,0,clip_sim
1196,restaurant_0013.png,3,4,0,clip_sim
1197,restaurant_0013.png,3,4,0,clip_sim
1198,restaurant_0013.png,1,4,0,clip_sim
1199,restaurant_0013.png,2,4,0,clip_sim
1200,restaurant_0013.png,4,4,0,clip_sim
1201,restaurant_0013.png,2,4,0,clip_sim
1202,restaurant_0013.png,1,4,0,clip_sim
1203,restaurant_0013.png,2,4,0,clip_sim
1204,restaurant_0013.png,3,4,0,clip_sim
1205,restaurant_0013.png,3,4,0,clip_sim
1206,restaurant_0013.png,1,4,0,clip_sim
1208,restaurant_0016.png,1,2,0,clip_sim
1209,restaurant_0016.png,1,2,0,clip_sim
1210,restaurant_0016.png,2,3,0,clip_sim
1211,restaurant_0016.png,4,4,0,clip_sim
1212,restaurant_0016.png,4,3,0,clip_sim
1213,restaurant_0016.png,0,3,0,clip_sim
1214,restaurant_0016.png,0,3,0,clip_sim
1215,restaurant_0016.png,0,2,0,clip_sim
1216,restaurant_0016.png,3,4,0,clip_sim
1217,restaurant_0016.png,3,4,0,clip_sim
1218,restaurant_0017.png,4,4,0,clip_sim
1219,restaurant_0017.png,4,4,0,clip_sim
1220,restaurant_0017.png,3,4,0,clip_sim
1221,restaurant_0017.png,4,4,0,clip_sim
1222,restaurant_0017.png,4,4,0,clip_sim
1223,restaurant_0017.png,4,4,0,clip_sim
1224,restaurant_0017.png,3,4,0,clip_sim
1225,restaurant_0017.png,3,4,0,clip_sim
1226,restaurant_0017.png,2,4,0,clip_sim
1227,restaurant_0017.png,3,4,0,clip_sim
1228,restaurant_0017.png,3,4,0,clip_sim
1229,restaurant_0017.png,3,3,0,clip_sim
1230,restaurant_0017.png,3,4,0,clip_sim
1231,restaurant_0017.png,4,4,0,clip_sim
1232,restaurant_0017.png,2,4,0,clip_sim
1233,restaurant_0017.png,3,2,0,clip_sim
1234,restaurant_0017.png,0,3,0,clip_sim
1235,restaurant_0017.png,1,3,0,clip_sim
1236,restaurant_0017.png,1,3,0,clip_sim
1237,restaurant_0017.png,1,3,0,clip_sim
1238,restaurant_0017.png,1,3,0,clip_sim
1239,restaurant_0017.png,1,3,0,clip_sim
1240,restaurant_0017.png,1,3,0,clip_sim
1241,restaurant_0017.png,1,3,0,clip_sim
1346,zerokal_0002.png,4,4,0,clip_sim
1347,zerokal_0002.png,4,4,0,clip_sim
1348,zerokal_0002.png,4,4,0,clip_sim
1349,zerokal_0002.png,3,4,0,clip_sim
1350,zerokal_0002.png,2,4,0,clip_sim
1351,zerokal_0002.png,2,4,0,clip_sim
1432,zerokal_0009.png,3,3,0,clip_sim
1433,zerokal_0009.png,4,2,0,clip_sim
