sample_id,post_id,true_label,pred_label,fold,model
78,ai_0013.png,4,3,0,koclip_svm
79,ai_0013.png,4,2,0,koclip_svm
80,ai_0013.png,4,4,0,koclip_svm
81,ai_0013.png,4,4,0,koclip_svm
82,ai_0013.png,1,4,0,koclip_svm
83,ai_0013.png,1,0,0,koclip_svm
84,ai_0013.png,1,4,0,koclip_svm
85,ai_0013.png,2,2,0,koclip_svm
86,ai_0013.png,2,2,0,koclip_svm
87,ai_0013.png,1,3,0,koclip_svm
88,ai_0013.png,1,3,0,koclip_svm
112,ai_0015.png,3,4,0,koclip_svm
113,ai_0015.png,2,4,0,koclip_svm
114,ai_0015.png,2,4,0,koclip_svm
115,ai_0015.png,2,4,0,koclip_svm
116,ai_0015.png,3,4,0,koclip_svm
117,ai_0015.png,4,4,0,koclip_svm
118,ai_0015.png,4,4,0,koclip_svm
119,ai_0015.png,3,4,0,koclip_svm
120,ai_0015.png,0,4,0,koclip_svm
264,domesticTravel_0008.png,4,2,0,koclip_svm
265,domesticTravel_0008.png,4,2,0,koclip_svm
325,domesticTravel_0021.png,1,1,0,koclip_svm
326,domesticTravel_0021.png,1,3,0,koclip_svm
327,domesticTravel_0021.png,0,1,0,koclip_svm
328,domesticTravel_0021.png,4,3,0,koclip_svm
329,domesticTravel_0021.png,1,2,0,koclip_svm
330,domesticTravel_0021.png,3,3,0,koclip_svm
331,domesticTravel_0021.png,4,3,0,koclip_svm
332,domesticTravel_0021.png,4,3,0,koclip_svm
333,domesticTravel_0021.png,4,3,0,koclip_svm
334,domesticTravel_0021.png,4,3,0,koclip_svm
335,domesticTravel_0021.png,4,1,0,koclip_svm
336,domesticTravel_0021.png,1,2,0,koclip_svm
337,domesticTravel_0021.png,1,1,0,koclip_svm
338,domesticTravel_0021.png,0,1,0,koclip_svm
339,domesticTravel_0021.png,1,1,0,koclip_svm
340,domesticTravel_0021.png,3,1,0,koclip_svm
341,domesticTravel_0021.png,4,1,0,koclip_svm
342,domesticTravel_0021.png,1,1,0,koclip_svm
343,domesticTravel_0021.png,2,1,0,koclip_svm
