model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,qwk_mean,qwk_std,adj_acc_mean,adj_acc_std,n_folds
majority,0.3187078054010637,0.00021400837897358728,0.09667275283537352,4.9220097617667537e-05,0.15405184662525967,0.00018191627477772652,1.5407545136282899,0.0007405552439051445,0.0,0.0,0.5541585594624042,0.0003457612681029247,5
random_stratified,0.22862449452739025,0.005703258770675327,0.20107031811872372,0.003973505230017291,0.22871242771828615,0.00549506321265475,1.5539075547553889,0.017476305747314704,0.00229029140527084,0.011247935404736753,0.5362595404499245,0.007030655408692397,5
clip_frozen,0.2893889320360541,0.03050579514486,0.23623322324695506,0.05184006343021698,0.26760514685349707,0.04889020820260489,1.4501143237199137,0.08095371576345943,0.10745769909406226,0.058119297702958976,0.576957114813465,0.0387087563358243,5
clip_ft,0.24335587649927065,0.018152528266592968,0.1425727805359032,0.05496097531389303,0.14164803736127884,0.05243734811251837,1.432293590292421,0.14355885597499762,0.06008130111148076,0.04123675520713186,0.6317725202898619,0.03801701198446194,5
clip_sim,0.2874881429851463,0.007145085913495558,0.16479433029026613,0.004333934797157818,0.21615228054960628,0.005081412673658456,1.3872308763637435,0.008709875379753311,0.048890022096076104,0.01601244029497999,0.5960353883205718,0.009126752911404058,5
clip_svm,0.3968042231600012,0.014466404297916182,0.3685313396890715,0.015631838653360753,0.3954989938505979,0.013768024612202726,1.1287937515935098,0.03100137200931991,0.27669654632228735,0.02330391881956423,0.6844580953858295,0.011568603172551019,5
clip_xgb,0.42527201398406034,0.0203800497762191,0.38309974597572327,0.02021358434704258,0.41290499331936276,0.017940881069756397,1.1014969587743366,0.02584944910128016,0.2687331399901492,0.019496449214826878,0.6927801274162848,0.007940091050571146,5
koclip_frozen,0.322033093493259,0.01708576250316054,0.2934275399877004,0.04317678259157119,0.31715592653356894,0.03192007611165526,1.3478470174210808,0.029090428100741736,0.15461559511069262,0.037454200159645464,0.627919318035857,0.02317071683689969,5
koclip_ft,0.45765861942957065,0.012427015306614601,0.43896487335893275,0.010784878566805588,0.45735100153086206,0.012148534757464613,1.0546308397460584,0.04299560022322218,0.30681041006401444,0.039524042040397875,0.7195051308983704,0.013412614054315024,5
koclip_sim,0.2912319740412187,0.006196165124597888,0.20115052940614891,0.0043942115981029,0.25240671410348087,0.005462205818248618,1.1327038299664427,0.017428826499140536,0.22665243965408116,0.021378247021382326,0.6744677027926441,0.005411356040604371,5
koclip_svm,0.44259203316741214,0.014567196756487932,0.4191897658347898,0.015324352333499361,0.4425553270060766,0.014050913207608698,1.0409676793108424,0.01901909586000223,0.319679212342927,0.010623132657982705,0.721169508384195,0.006494113270011285,5
koclip_xgb,0.45999146725855294,0.01057541502116264,0.42038888402687624,0.012620632891358327,0.4505942608999843,0.010184819405301915,1.0268992537111965,0.0204623092163592,0.3109786336279852,0.01950065205064048,0.7218351356948935,0.007077439914418554,5
